name,category,brand,model,serial_number,location_code,installation_date,last_verification,verification_frequency_code,verification_frequency_days,verification_frequency_months
Sensore fumo CR2 001,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR2-001,CR2,2022-02-02,2025-04-08,SEM,180,6
Estintore polvere CR3 002,Antincendio,Emme Antincendio,P6-ABC,EST-CR3-002,CR3,2023-03-03,2025-07-15,SEM,180,6
UTA settore CR4 003,Meccanico,Daikin,AHU-12,UTA-CR4-003,CR4,2024-04-04,2025-10-22,ANN,365,12
Quadro elettrico CR5 004,Elettrico,Schneider,Acti9,QEL-CR5-004,CR5,2021-05-05,2025-01-02,ANN,365,12
Telecamera IP GD1 005,TVCC,Hikvision,DS-2CD,CAM-GD1-005,GD1,2022-06-06,2025-04-09,ANN,365,12
Pulsante allarme IF1 006,Rivelazione incendi,Siemens,FC722,DET-IF1-006,IF1,2023-07-07,2025-07-16,SEM,180,6
Idrante UNI45 IF2 007,Antincendio,Bocciolone,UNI45,IDR-IF2-007,IF2,2024-08-08,2025-10-23,SEM,180,6
Pompa circuito PL1 008,Meccanico,Grundfos,MAGNA3,POM-PL1-008,PL1,2021-09-09,2025-01-03,ANN,365,12
Lampada emergenza SC1 009,Elettrico,Gewiss,Smart4,LGT-SC1-009,SC1,2022-10-10,2025-04-10,ANN,365,12
Registratore NVR SLV1 010,TVCC,Dahua,NVR5216,NVR-SLV1-010,SLV1,2023-11-11,2025-07-17,ANN,365,12
Centrale rilevazione SP1 011,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP1-011,SP1,2024-12-12,2025-10-24,SEM,180,6
Naspo antincendio SP2 012,Antincendio,Tema Safety,NA-25,NAS-SP2-012,SP2,2021-01-13,2025-01-04,SEM,180,6
Serranda aria SP3 013,Meccanico,Swegon,WISE,VAV-SP3-013,SP3,2022-02-14,2025-04-11,ANN,365,12
UPS rack SP4 014,Elettrico,APC,SRT,UPS-SP4-014,SP4,2023-03-15,2025-07-18,ANN,365,12
Monitor sicurezza SP5 015,TVCC,Axis,M3115,MON-SP5-015,SP5,2024-04-16,2025-10-25,ANN,365,12
Sensore fumo SP6 016,Rivelazione incendi,Notifier,NFXI-OPT,RIL-SP6-016,SP6,2021-05-17,2025-01-05,SEM,180,6
Estintore polvere UF1 017,Antincendio,Emme Antincendio,P6-ABC,EST-UF1-017,UF1,2022-06-18,2025-04-12,SEM,180,6
UTA settore UF2 018,Meccanico,Daikin,AHU-12,UTA-UF2-018,UF2,2023-07-19,2025-07-19,ANN,365,12
Quadro elettrico UF3 019,Elettrico,Schneider,Acti9,QEL-UF3-019,UF3,2024-08-20,2025-10-26,ANN,365,12
Telecamera IP UF4 020,TVCC,Hikvision,DS-2CD,CAM-UF4-020,UF4,2021-09-21,2025-01-06,ANN,365,12
Pulsante allarme UF5 021,Rivelazione incendi,Siemens,FC722,DET-UF5-021,UF5,2022-10-22,2025-04-13,SEM,180,6
Idrante UNI45 UF6 022,Antincendio,Bocciolone,UNI45,IDR-UF6-022,UF6,2023-11-23,2025-07-20,SEM,180,6
Pompa circuito WC1 023,Meccanico,Grundfos,MAGNA3,POM-WC1-023,WC1,2024-12-24,2025-10-27,ANN,365,12
Lampada emergenza WC2 024,Elettrico,Gewiss,Smart4,LGT-WC2-024,WC2,2021-01-25,2025-01-07,ANN,365,12
Registratore NVR WC3 025,TVCC,Dahua,NVR5216,NVR-WC3-025,WC3,2022-02-26,2025-04-14,ANN,365,12
Centrale rilevazione WC4 026,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC4-026,WC4,2023-03-27,2025-07-21,SEM,180,6
Naspo antincendio WC5 027,Antincendio,Tema Safety,NA-25,NAS-WC5-027,WC5,2024-04-01,2025-10-01,SEM,180,6
Serranda aria WC6 028,Meccanico,Swegon,WISE,VAV-WC6-028,WC6,2021-05-02,2025-01-08,ANN,365,12
UPS rack WC7 029,Elettrico,APC,SRT,UPS-WC7-029,WC7,2022-06-03,2025-04-15,ANN,365,12
Monitor sicurezza CR2 030,TVCC,Axis,M3115,MON-CR2-030,CR2,2023-07-04,2025-07-22,ANN,365,12
Sensore fumo CR3 031,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR3-031,CR3,2024-08-05,2025-10-02,SEM,180,6
Estintore polvere CR4 032,Antincendio,Emme Antincendio,P6-ABC,EST-CR4-032,CR4,2021-09-06,2025-01-09,SEM,180,6
UTA settore CR5 033,Meccanico,Daikin,AHU-12,UTA-CR5-033,CR5,2022-10-07,2025-04-16,ANN,365,12
Quadro elettrico GD1 034,Elettrico,Schneider,Acti9,QEL-GD1-034,GD1,2023-11-08,2025-07-23,ANN,365,12
Telecamera IP IF1 035,TVCC,Hikvision,DS-2CD,CAM-IF1-035,IF1,2024-12-09,2025-10-03,ANN,365,12
Pulsante allarme IF2 036,Rivelazione incendi,Siemens,FC722,DET-IF2-036,IF2,2021-01-10,2025-01-10,SEM,180,6
Idrante UNI45 PL1 037,Antincendio,Bocciolone,UNI45,IDR-PL1-037,PL1,2022-02-11,2025-04-17,SEM,180,6
Pompa circuito SC1 038,Meccanico,Grundfos,MAGNA3,POM-SC1-038,SC1,2023-03-12,2025-07-24,ANN,365,12
Lampada emergenza SLV1 039,Elettrico,Gewiss,Smart4,LGT-SLV1-039,SLV1,2024-04-13,2025-10-04,ANN,365,12
Registratore NVR SP1 040,TVCC,Dahua,NVR5216,NVR-SP1-040,SP1,2021-05-14,2025-01-11,ANN,365,12
Centrale rilevazione SP2 041,Rivelazione incendi,Honeywell,IQ8Quad,CEN-SP2-041,SP2,2022-06-15,2025-04-18,SEM,180,6
Naspo antincendio SP3 042,Antincendio,Tema Safety,NA-25,NAS-SP3-042,SP3,2023-07-16,2025-07-25,SEM,180,6
Serranda aria SP4 043,Meccanico,Swegon,WISE,VAV-SP4-043,SP4,2024-08-17,2025-10-05,ANN,365,12
UPS rack SP5 044,Elettrico,APC,SRT,UPS-SP5-044,SP5,2021-09-18,2025-01-12,ANN,365,12
Monitor sicurezza SP6 045,TVCC,Axis,M3115,MON-SP6-045,SP6,2022-10-19,2025-04-19,ANN,365,12
Sensore fumo UF1 046,Rivelazione incendi,Notifier,NFXI-OPT,RIL-UF1-046,UF1,2023-11-20,2025-07-26,SEM,180,6
Estintore polvere UF2 047,Antincendio,Emme Antincendio,P6-ABC,EST-UF2-047,UF2,2024-12-21,2025-10-06,SEM,180,6
UTA settore UF3 048,Meccanico,Daikin,AHU-12,UTA-UF3-048,UF3,2021-01-22,2025-01-13,ANN,365,12
Quadro elettrico UF4 049,Elettrico,Schneider,Acti9,QEL-UF4-049,UF4,2022-02-23,2025-04-20,ANN,365,12
Telecamera IP UF5 050,TVCC,Hikvision,DS-2CD,CAM-UF5-050,UF5,2023-03-24,2025-07-27,ANN,365,12
Pulsante allarme UF6 051,Rivelazione incendi,Siemens,FC722,DET-UF6-051,UF6,2024-04-25,2025-10-07,SEM,180,6
Idrante UNI45 WC1 052,Antincendio,Bocciolone,UNI45,IDR-WC1-052,WC1,2021-05-26,2025-01-14,SEM,180,6
Pompa circuito WC2 053,Meccanico,Grundfos,MAGNA3,POM-WC2-053,WC2,2022-06-27,2025-04-21,ANN,365,12
Lampada emergenza WC3 054,Elettrico,Gewiss,Smart4,LGT-WC3-054,WC3,2023-07-01,2025-07-01,ANN,365,12
Registratore NVR WC4 055,TVCC,Dahua,NVR5216,NVR-WC4-055,WC4,2024-08-02,2025-10-08,ANN,365,12
Centrale rilevazione WC5 056,Rivelazione incendi,Honeywell,IQ8Quad,CEN-WC5-056,WC5,2021-09-03,2025-01-15,SEM,180,6
Naspo antincendio WC6 057,Antincendio,Tema Safety,NA-25,NAS-WC6-057,WC6,2022-10-04,2025-04-22,SEM,180,6
Serranda aria WC7 058,Meccanico,Swegon,WISE,VAV-WC7-058,WC7,2023-11-05,2025-07-02,ANN,365,12
UPS rack CR2 059,Elettrico,APC,SRT,UPS-CR2-059,CR2,2024-12-06,2025-10-09,ANN,365,12
Monitor sicurezza CR3 060,TVCC,Axis,M3115,MON-CR3-060,CR3,2021-01-07,2025-01-16,ANN,365,12
Sensore fumo CR4 061,Rivelazione incendi,Notifier,NFXI-OPT,RIL-CR4-061,CR4,2022-02-08,2025-04-23,SEM,180,6
Estintore polvere CR5 062,Antincendio,Emme Antincendio,P6-ABC,EST-CR5-062,CR5,2023-03-09,2025-07-03,SEM,180,6
UTA settore GD1 063,Meccanico,Daikin,AHU-12,UTA-GD1-063,GD1,2024-04-10,2025-10-10,ANN,365,12
Quadro elettrico IF1 064,Elettrico,Schneider,Acti9,QEL-IF1-064,IF1,2021-05-11,2025-01-17,ANN,365,12
Telecamera IP IF2 065,TVCC,Hikvision,DS-2CD,CAM-IF2-065,IF2,2022-06-12,2025-04-24,ANN,365,12
